7809842496,4,bufwrite,tick,RUNNABLE,RUNNING,3
7810442336,4,bufwrite,exit,RUNNING,ZOMBIE,3
7813717792,5,bufwrite,tick,RUNNABLE,RUNNING,3
7814006912,5,bufwrite,exit,RUNNING,ZOMBIE,3
7817301472,6,bufwrite,tick,RUNNABLE,RUNNING,3
7817587584,6,bufwrite,exit,RUNNING,ZOMBIE,3
7820690080,3,bufwrite,giveupCPU,RUNNING,RUNNABLE,0
7820756768,3,bufwrite,tick,RUNNABLE,RUNNING,3
7821349664,7,bufwrite,tick,RUNNABLE,RUNNING,0
7821614720,7,bufwrite,exit,RUNNING,ZOMBIE,0
7825445184,8,bufwrite,tick,RUNNABLE,RUNNING,2
7825810240,8,bufwrite,giveupCPU,RUNNING,RUNNABLE,2
7825879968,8,bufwrite,tick,RUNNABLE,RUNNING,1
7826078240,8,bufwrite,exit,RUNNING,ZOMBIE,1
7826412960,3,bufwrite,giveupCPU,RUNNING,RUNNABLE,3
7826486336,3,bufwrite,tick,RUNNABLE,RUNNING,0
7836502304,3,bufwrite,exit,RUNNING,ZOMBIE,0
